ner,label,count
Amazon,ORG,2711
one,CARDINAL,2121
first,ORDINAL,1950
two,CARDINAL,1430
2,CARDINAL,904
3,CARDINAL,700
One,CARDINAL,630
5,CARDINAL,597
4,CARDINAL,590
three,CARDINAL,484
1,CARDINAL,431
second,ORDINAL,421
Keurig,GPE,406
6,CARDINAL,399
half,CARDINAL,398
years,DATE,336
Yummy,GPE,308
12,CARDINAL,305
100%,PERCENT,284
French,NORP,277
today,DATE,247
four,CARDINAL,241
daily,DATE,241
First,ORDINAL,235
Christmas,DATE,234
Starbucks,ORG,201
Newman,PERSON,200
the day,DATE,199
24,CARDINAL,198
amazon,ORG,196
10,CARDINAL,189
8,CARDINAL,184
morning,TIME,182
Amazon.com,ORG,182
China,GPE,162
LOVE,ORG,156
six,CARDINAL,151
the morning,TIME,149
five,CARDINAL,139
US,GPE,138
100,CARDINAL,135
peanut,PERSON,134
french,NORP,134
Costco,ORG,119
Earl Grey,PERSON,118
BBQ,ORG,115
a week,DATE,113
Italian,NORP,103
third,ORDINAL,101
Earth,LOC,101
every day,DATE,99
16,CARDINAL,99
Two,CARDINAL,98
Green Mountain,LOC,97
1/2,CARDINAL,95
Canidae,ORG,94
YUM,ORG,94
American,NORP,93
USA,GPE,91
7,CARDINAL,87
Pamela,PERSON,85
20,CARDINAL,82
German,NORP,81
summer,DATE,79
Whole Foods,ORG,79
night,TIME,72
Asian,NORP,71
turkey,GPE,71
a few days,DATE,71
50,CARDINAL,70
Emeril,GPE,69
2nd,ORDINAL,69
hours,TIME,68
English,LANGUAGE,68
many years,DATE,64
only one,CARDINAL,64
Lipton,ORG,63
Switch,PERSON,63
15,CARDINAL,63
Italy,GPE,62
NEVER,ORG,62
every morning,TIME,62
Save,ORG,61
Jamaica,GPE,61
several years,DATE,60
Yum,PERSON,60
about half,CARDINAL,60
a few minutes,TIME,59
Thai,NORP,59
9,CARDINAL,59
Chinese,NORP,58
afternoon,TIME,58
Weight Watchers,ORG,57
monthly,DATE,57
California,GPE,57
one day,DATE,56
Wolfgang Puck,PERSON,55
months,DATE,54
a ton,QUANTITY,54
over a year,DATE,53
the years,DATE,53
more than one,CARDINAL,52
Greenies,LOC,51
Target,ORG,50
zero,CARDINAL,50
Great Coffee,ORG,50
Folgers,ORG,49
a month,DATE,49
Bob,PERSON,49
these days,DATE,49
1/4,CARDINAL,48
all day,DATE,48
Greenies,EVENT,48
11,CARDINAL,48
day,DATE,48
Subscribe,PERSON,48
the next day,DATE,47
WAY,ORG,47
FDA,ORG,47
Quaker,ORG,47
LOVES,PERSON,47
Puroast,LOC,47
Yuck,PERSON,46
England,GPE,46
2 days,DATE,45
Mexican,NORP,45
Japanese,NORP,45
Greenie,PERSON,44
10,MONEY,44
Bisquick,PERSON,44
MSG,ORG,44
Kettle,PERSON,43
Bigelow,ORG,43
yesterday,DATE,43
evening,TIME,43
3rd,ORDINAL,43
this year,DATE,43
amazon.com,ORG,43
a few years ago,DATE,42
1,MONEY,42
K-Cups,PRODUCT,41
days,DATE,41
140,CARDINAL,41
Vanilla,ORG,41
a day,DATE,41
Europe,LOC,41
Indian,NORP,40
winter,DATE,40
last year,DATE,40
Wolfgang Puck's,PERSON,40
